ic_scen;dc_scen;pv_scen;ev_scen;team;iter;total_bill;autonomy_score;pmax_cost
1;1;grand_nord;1;team_1;1;7.0;47.593;123.6
1;1;grand_nord;1;team_1;2;6.62;44.881;123.6
1;1;grand_nord;1;team_1;3;6.683;45.709;123.6
1;1;grand_nord;1;team_2;1;6.687;46.201;123.6
1;1;grand_nord;1;team_2;2;6.747;45.815;123.6
1;1;grand_nord;1;team_2;3;7.199;48.948;123.6
1;1;grand_nord;1;team_2;4;7.086;48.105;123.6
1;1;grand_nord;1;team_3;1;7.32;49.555;123.6
1;1;grand_nord;1;team_3;2;7.235;48.705;123.6
1;1;grand_nord;1;team_3;3;6.799;47.047;123.6
1;1;grand_nord;1;team_3;4;6.978;47.47;123.6
