ic_scen;dc_scen;pv_scen;ev_scen;team;iter;total_bill;pmax_cost;autonomy_score
1;1;grand_nord;1;team_1;1;7.091;123.6;47.685
1;1;grand_nord;1;team_1;2;6.973;123.6;46.568
1;1;grand_nord;1;team_1;3;7.268;123.6;48.058
1;1;grand_nord;1;team_2;1;6.842;123.6;45.735
1;1;grand_nord;1;team_2;2;7.337;123.6;49.489
1;1;grand_nord;1;team_2;3;7.138;123.6;48.1
1;1;grand_nord;1;team_2;4;7.394;123.6;48.886
1;1;grand_nord;1;team_3;1;7.133;123.6;47.841
1;1;grand_nord;1;team_3;2;7.195;123.6;48.259
1;1;grand_nord;1;team_3;3;6.709;123.6;44.688
1;1;grand_nord;1;team_3;4;7.024;123.6;47.116
